
2023/06/16 (14:51:51) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:51:57) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:03) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:09) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:15) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:21) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:27) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:33) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:39) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:45) | ERROR: Stall in Runner thread, restarting!
2023/06/16 (14:52:51) | ERROR: Stall in Runner thread, restarting!

2023/06/16 (16:41:07) | ===> btop++ v.1.2.13
2023/06/16 (16:41:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/23 (16:14:51) | ===> btop++ v.1.2.13
2023/06/23 (16:14:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (10:47:35) | ===> btop++ v.1.2.13
2023/06/26 (10:47:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (10:49:02) | ===> btop++ v.1.2.13
2023/06/26 (10:49:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (10:53:27) | ===> btop++ v.1.2.13
2023/06/26 (10:53:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (10:56:18) | ===> btop++ v.1.2.13
2023/06/26 (10:56:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (10:57:25) | ===> btop++ v.1.2.13
2023/06/26 (10:57:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:01:57) | ===> btop++ v.1.2.13
2023/06/26 (11:01:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:02:25) | ===> btop++ v.1.2.13
2023/06/26 (11:02:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:02:56) | ===> btop++ v.1.2.13
